Mass,Acetaldehyde,CO,CO2,Ethylene (Ethene),Ethanol,Crotyl Alcohol,H2,H2O,1butanal
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
12.0,0.0,6.132114125842048,13.85514751928736,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,8.59222336739209,9.762639437154586,0.0,0.0,4.609394104263837
16.0,0.0,0.0,14.257483979568681,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.587715476745302,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,8.182601487215093,0.0,0.0,0.0,0.0,0.0
26.0,10.701070107010702,0.0,0.0,54.61005634242505,10.617674226490585,14.635768855068779,0.0,0.0,5.0665613761736745
27.0,7.740774077407742,0.0,0.0,63.32545620828447,23.784859078083752,54.22191680627965,0.0,0.0,47.44147131573526
28.0,61.03610361036104,100.0,11.961704442827608,100.0,0.0,18.461720805441836,0.0,0.0,12.042521666583061
29.0,100.0,0.0,0.0,0.0,30.73673009667451,93.41620158582644,0.0,0.0,43.707887223675826
30.0,0.0,0.0,0.0,0.0,8.2389447928761,4.714670385454953,0.0,0.0,0.0
31.0,0.0,0.0,0.0,0.0,100.0,36.2146655805394,0.0,0.0,0.0
32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,0.0,0.0,0.0,0.0,0.0,7.855627458810516,0.0,0.0,0.0
38.0,0.0,0.0,0.0,0.0,0.0,13.769089942218244,0.0,0.0,4.120469829622721
39.0,0.0,0.0,0.0,0.0,0.0,58.973784789368096,0.0,0.0,21.04990187963711
40.0,0.0,0.0,0.0,0.0,0.0,8.078669091713342,0.0,0.0,0.0
41.0,5.4605460546054605,0.0,0.0,0.0,0.0,34.38668376988171,0.0,0.0,57.10463733742645
42.0,0.0,0.0,0.0,0.0,4.141303211795264,8.872419450859557,0.0,0.0,11.44582332495247
43.0,0.0,0.0,0.0,0.0,9.89855002990601,44.4417852031563,0.0,0.0,77.09869919432653
44.0,99.9899989999,0.0,100.0,0.0,0.0,11.544121843243627,0.0,0.0,100.0
45.0,0.0,0.0,0.0,0.0,43.762209857363835,0.0,0.0,0.0,0.0
46.0,0.0,0.0,0.0,0.0,18.23431239739768,0.0,0.0,0.0,0.0
47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.0,0.0,0.0,0.0,0.0,6.866497730433301,0.0,0.0,0.0
51.0,0.0,0.0,0.0,0.0,0.0,6.096045128871148,0.0,0.0,0.0
52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.0,0.0,0.0,0.0,0.0,0.0,13.64073616899919,0.0,0.0,0.0
54.0,0.0,0.0,0.0,0.0,0.0,9.192897758407554,0.0,0.0,0.0
55.0,0.0,0.0,0.0,0.0,0.0,8.734710604047104,0.0,0.0,0.0
56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,35.08142128964315
58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71.0,0.0,0.0,0.0,0.0,0.0,7.26724879977657,0.0,0.0,0.0
72.0,0.0,0.0,0.0,0.0,0.0,26.922311367683637,0.0,0.0,0.0
73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
